,title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
477,Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82,drama,
478,Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82,"adventure,animation",
479,Mr. Magoo,PG,mild language and action sequences,60,1997,,82,,
480,Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,,82,,
481,Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80,,
482,Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80,"comedy,kids,family",
483,Heavyweights,PG,some rude language and pranks,60,1995,74.0,80,"comedy,kids,family",
484,Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,,82,"comedy,kids,family",
485,Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,,82,,
486,D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80,,
487,"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80,,
488,Air Buddies,PG,"some mild, rude humor",60,2006,,82,"comedy,kids,family",
489,Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,,82,,
490,Flicka 2,PG,some reckless behavior,60,2010,,82,"kids,family,drama",
491,H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80,"Children / teen drama, Fantasy",
492,Dolphin Tale,PG,some mild thematic elements,60,2011,,82,"adventure,kids,family,drama",
493,Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82,comedy,
494,Mia and Me,TV-Y,Suitable for all ages.,10,2015,,82,FantasyAdventure,
495,Russell Madness,PG,some rude humor and sports action,60,2015,,82,"adventure,comedy,kids,family",
496,Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,,82,"adventure,kids,family",
497,Pup Star,G,General Audiences. Suitable for all ages.,35,2016,,82,,
498,Precious Puppies,TV-G,Suitable for all ages.,35,2003,,82,,
499,Beary Tales,TV-G,Suitable for all ages.,35,2013,,82,,
