,title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
182,Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85.0,80,western,
183,Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83.0,80,Family drama,14+
184,Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81.0,80,Comedy-drama,
185,Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62.0,80,"romance,mystery,thriller,drama",
186,The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93.0,80,Medical drama,14+
187,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79.0,80,"Historical drama, Romantic drama",14+
188,Fuller House,TV-G,Suitable for all ages.,35,2016,90.0,80,Sitcom,
189,Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80,Comedy-drama,14+
190,Gabriel lglesias: IÛªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80,,14+
191,The Wedding Planner,PG-13,language and some sexual humor,80,2001,,82,,
192,Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78.0,80,"crime,biography,drama",
193,High School Musical,TV-G,Suitable for all ages.,35,2006,64.0,80,Musical,
194,Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80,Crime dramaComedy-dramaPolice procedural,14+
195,Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97.0,80,"Police procedural, Legal drama, Thriller, Mystery",14+
196,NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80,"Action, Drama, Police procedural",14+
197,Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61.0,80,,14+
198,Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80,Medical drama,14+
199,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80,"Soap opera, Psychological thriller, Mystery, Serial drama Soundtrack",
200,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80,"Political thriller, Political drama",14+
201,Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77.0,80,"comedy,drama",
202,Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63.0,80,drama,13+
203,Home,PG,mild action and some rude humor,60,2015,94.0,80,Comedy,
204,Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80,Reality competition,14+
205,Felipe Neto: My Life Makes No Sense,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
206,Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98.0,80,"Adventure, Mystery, Serial drama, Science fiction, Supernatural fiction",14+
207,Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85.0,80,Black comedyComedy-dramaSatire,17+
