title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82,drama,no restriction
Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82,"adventure,animation",no restriction
Mr. Magoo,PG,mild language and action sequences,60,1997,,82,,no restriction
Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,,82,,no restriction
Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80,,no restriction
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80,"kids,family,comedy",no restriction
Heavyweights,PG,some rude language and pranks,60,1995,74.0,80,"kids,family,comedy",no restriction
Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,,82,"kids,family,comedy",no restriction
Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,,82,,no restriction
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80,,no restriction
"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80,,no restriction
Air Buddies,PG,"some mild, rude humor",60,2006,,82,"kids,family,comedy",no restriction
Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,,82,,no restriction
Flicka 2,PG,some reckless behavior,60,2010,,82,"kids,family,drama",no restriction
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80,"ChildrenÂ / teen drama, Fantasy",no restriction
Dolphin Tale,PG,some mild thematic elements,60,2011,,82,"kids,family,adventure,drama",no restriction
Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82,comedy,no restriction
Mia and Me,TV-Y,Suitable for all ages.,10,2015,,82,FantasyAdventure,no restriction
Russell Madness,PG,some rude humor and sports action,60,2015,,82,"kids,family,adventure,comedy",no restriction
Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,,82,"kids,family,adventure",no restriction
Pup Star,G,General Audiences. Suitable for all ages.,35,2016,,82,,no restriction
Precious Puppies,TV-G,Suitable for all ages.,35,2003,,82,,no restriction
Beary Tales,TV-G,Suitable for all ages.,35,2013,,82,,no restriction
