title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90.0,80,"Science fiction, Horror",14+
Ingobernable,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,96.0,80,Political drama,17+
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80,"kids,family,animation,adventure,comedy",no restriction
Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79.0,80,comedy,no restriction
Finding Dory,PG,mild thematic elements,60,2016,98.0,80,"kids,family,animation,adventure,comedy",no restriction
Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91.0,80,"adventure,animation,comedy",no restriction
Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80,,no restriction
Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97.0,80,,no restriction
The Discovery,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,"romance,scifi,mystery,thriller",17+
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93.0,80,"Sitcom, Sex comedy, Cringe comedy",17+
Cheer Squad,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,61.0,80,Reality,no restriction
Only for One Night,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,78.0,80,"mystery,thriller",17+
The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,,82,,no restriction
The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,,82,,17+
30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66.0,80,SitcomSatireFarce,14+
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75.0,80,Period dramaSerial drama,14+
It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80,SitcomBlack comedyCringe comedy,17+
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80,Comedy-dramaBlack comedy,17+
Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80,"Comedy, Satire, Sketch, Surreal humour",14+
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,,82,Sitcom,14+
